"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"DevOps-RAF: An assessment framework to measure DevOps readiness in software organizations","L. Marrero; H. Astudillo","Universidad Técnica Federico Santa María,Departamento de Informática,Valparaíso,Chile; Universidad Técnica Federico Santa María,Departamento de Informática,Santiago,Chile","2021 40th International Conference of the Chilean Computer Science Society (SCCC)","22 Dec 2021","2021","","","1","8","DevOps is a software process that embraces agility practices on software development and delivery, requires that organization meet strict culture and tooling requirements, and has become widely used by leading software development companies, as well as Latin-American Small and Medium Enterprises (SME). Several DevOps maturity models have been proposed around CAMS (Culture, Automation, Measurement, Sharing) or variations, but they do not allow to identify capability gaps in specific organizations; and altough some have been evaluated at European and USA companies, none are LatAm SME-focused. This article describes DevOps-RAF, an assessment framework to (1) evaluate SME’s readiness to adapt and adopt DevOps practices, culture and tooling, (2) identify capability gaps, and (3) propose improvement roadmaps. DevOps-RAF exploits the notion of DevOps as Dev + CI + Ops, and recognizes four domains for them (Agile Development, Agile Operations, Continuous Integration) and the cross-cutting Culture; 17 key performance indicators (KPI); and four maturity levels (Initial, Intermediate, Advanced, and Optimized). This domain structure allows to assess both development organizations (doing Dev and Integration) and their customers (doing Integration and Ops). An initial validation of DevOps-RAF formulation and structure was carried with a survey to several DevOps Chilean industry experts; respondents suggested to retain 71% of proposed KPI’s, change 29%, and drop none. Once pilot-tested and stabilized, DevOps-RAF will allow to systematically assess and mitigate the capacity gaps that bedevil LatAm software SME’s in adopting DevOps.","2691-0632","978-1-6654-0956-8","10.1109/SCCC54552.2021.9650363","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9650363","maturity model;DevOps;capabilities assessment;software development","Industries;Computer science;Automation;Computational modeling;Key performance indicator;Europe;Companies","project management;small-to-medium enterprises;software development management;software houses;software prototyping;software quality","bedevil LatAm software SME;DevOps-RAF;assessment framework;DevOps readiness;software organizations;software development companies;DevOps maturity models;capability gaps;SME readiness;development organizations;DevOps Chilean industry experts;Latin-American small and medium enterprises;agile development;agile operations;continuous integration;cross-cutting culture;KPI","","","","22","IEEE","22 Dec 2021","","","IEEE","IEEE Conferences"
"An Empirical Taxonomy of DevOps in Practice","R. W. Macarthy; J. M. Bass","University of Salford,School of Science, Engineering and Environment,Manchester,UK; University of Salford,School of Science, Engineering and Environment,Manchester,UK","2020 46th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","16 Oct 2020","2020","","","221","228","DevOps is described as a software engineering culture and philosophy that utilises cross-functional teams to build, test and release software faster and more reliably through automation. Research shows that its adoption speeds up software delivery time, improve quality, security, and collaboration in software development. One controversial issue has been whether DevOps is an organisation-wide culture or a job description. As DevOps is an emerging concept, its definitions and best practices are still hazy, making its implementation in practice less informed and somewhat risky. The rising trend of DevOps adoption among software development practitioners therefore heightens the need for in-depth investigation into its implementation.This paper seeks to contribute to the above by critically examining DevOps implementation in practice through an exploratory case study, based on interviews with 11 industry practitioners across nine organisations. Transcripts of interviews were coded and analysed using a method informed by Grounded Theory. This study provides an empirical taxonomy of DevOps implementation, describing developers' interaction with On-premises Ops, Outsourced Ops, DevOps teams, and DevOps bridge teams. We present a novel mapping of the approaches to on-premises and cloud-based deployments, and identified the facilitators of DevOps practices in the different modes. We further identified three distinct groups of activities in the fourth mode: provisioning and maintenance of physical systems, function virtualisation and creation of automated pipelines, and development, deployment and maintenance of applications, which may have given rise to the implementation of DevOps as bridge teams. Interviewees claimed these distinctions allowed developers to focus on delivering value for the business.","","978-1-7281-9532-2","10.1109/SEAA51224.2020.00046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9226359","DevOps implementation;DevOps practices;Agile operations;Agile deployment","Software;Interviews;Collaboration;Automation;Software engineering;Security;Data collection","cloud computing;organisational aspects;outsourcing;project management;software development management;software quality;virtualisation","empirical taxonomy;software engineering culture;cross-functional teams;software release;software delivery time;organisation-wide culture;DevOps adoption;software development practitioners;DevOps implementation;DevOps teams;DevOps bridge teams;DevOps practices;grounded theory;cloud-based deployments;On-premises Ops;function virtualisation;automated pipelines","","5","","34","","16 Oct 2020","","","IEEE","IEEE Conferences"
"IEEE Standard for DevOps:Building Reliable and Secure Systems Including Application Build, Package, and Deployment","",,"IEEE Std 2675-2021","23 Apr 2021","2021","","","1","91","Technical principles and processes to build, package, and deploy systems and applications in a reliable and secure way are specified. Establishing effective compliance and information technology (IT) controls is the focus. DevOps principles presented include mission first, customer focus, left-shift, continuous everything, and systems thinking. How stakeholders, including developers and operations staff, can collaborate and communicate effectively is described. The process outcomes and activities herein are aligned with the process model specified in ISO/IEC/IEEE 12207:2017 and ISO/IEC/IEEE 15288:2015.;Technical principles and processes to build, package, and deploy systems and applications in a reliable and secure way are specified. Establishing effective compliance and information technology (IT) controls is the focus. DevOps principles presented include mission first, customer focus, left-shift, continuous everything, and systems thinking. How stakeholders, including developers and operations staff, can collaborate and communicate effectively is described. The process outcomes and activities herein are aligned with the process model specified in ISO/IEC/IEEE 12207:2017 and ISO/IEC/IEEE 15288:2015.","","978-1-5044-7407-8","10.1109/IEEESTD.2021.9415476","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9415476","agile;continuous delivery;continuous deployment;continuous integration;DevOps;IEEE 2675;left-shift","IEEE Standards;Security;Reliability;Continuous time systems;Agile software development","IEC standards;IEEE standards;ISO standards;software quality","process model;IEEE standard;deploy systems;information technology;DevOps principles;customer focus;systems thinking;operations staff;process outcomes","","2","","23","","23 Apr 2021","","","IEEE","IEEE Standards"
"Understanding DevOps Education with Grounded Theory","C. Pang; A. Hindle; D. Barbosa","MacEwan University,Computer Science,Edmonton,Canada; University of Alberta,Computing Science,Edmonton,Canada; University of Alberta,Computing Science,Edmonton,Canada","2020 IEEE/ACM 42nd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)","1 Dec 2020","2020","","","260","261","DevOps stands for Development-Operations. It arises from the IT industry as a movement aligning development and operations teams. DevOps is broadly recognized as an IT standard, and there is high demand for DevOps practitioners in industry. Therefore, we studied whether undergraduates acquired adequate DevOps skills to fulfill the demand for DevOps practitioners in industry. We employed Grounded Theory (GT), a social science qualitative research methodology, to study DevOps education from academic and industrial perspectives. In academia, academics were not motivated to learn or adopt DevOps, and we did not find strong evidence of academics teaching DevOps. Academics need incentives to adopt DevOps, in order to stimulate interest in teaching DevOps. In industry, DevOps practitioners lack clearly defined roles and responsibilities, for the DevOps topic is diverse and growing too fast. Therefore, practitioners can only learn DevOps through hands-on working experience. As a result, academic institutions should provide fundamental DevOps education (in culture, procedure, and technology) to prepare students for their future DevOps advancement in industry. Based on our findings, we proposed five groups of future studies to advance DevOps education in academia.","2574-1926","978-1-4503-7122-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9270301","Software Engineering;Continuous Integration;Continuous Delivery;DevOps;Grounded Theory;Education","Education;Industries;Software;Training;Software engineering;Programming profession;Social sciences","computer aided instruction;computer science education;educational courses;teaching","DevOps education;movement aligning development;operations teams;grounded theory;IT industry;social science qualitative research methodology;academic institutions","","","","12","","1 Dec 2020","","","IEEE","IEEE Conferences"
"Improve software quality through practicing DevOps","P. Perera; R. Silva; I. Perera","Department of Computer Science & Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science & Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science & Engineering, University of Moratuwa, Sri Lanka","2017 Seventeenth International Conference on Advances in ICT for Emerging Regions (ICTer)","15 Jan 2018","2017","","","1","6","DevOps is extended from certain agile practices with a mix of patterns intended to improve collaboration between development and operation teams. The main purpose of this paper is to conduct a study on how DevOps practice has impacted to software quality. The secondary objective is to find how to improve quality efficiently. A literature survey has carried out to explore about current DevOps practices in industry. According to the literature survey, the conceptual research model was developed and five hypotheses were derived. Research objectives were accomplished by testing hypotheses using Pearson correlation. A linear model is derived based on the linear regression analysis. An online questionnaire was used to collect quantitative data whereas interviews with experts on DevOps and Quality assurance have been used to identify how to improve the quality of software by practicing DevOps. Recommendations are given based on interview feedback, hypotheses testing with regression analysis. According to the quantitative study, researchers have identified that quality of the software gets improved when practice DevOps by following CAMS (Culture, Automation, Measurement, Sharing) framework. Automation is the most critical factor to improve the software quality. As per the results of multiple regression analysis, it has proved culture, automation, measurement and sharing are important factors to consider to improve quality of the software. In conclusion it can be recommended to use DevOps to achieve high quality software.","2472-7598","978-1-5386-2444-9","10.1109/ICTER.2017.8257807","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257807","DevOps;CAMS Framework;Quality;ISO 9126;Automation","Companies;Automation;Software quality;Testing;Software measurement","regression analysis;software development management;software prototyping;software quality","agile practices;operation teams;DevOps practice;conceptual research model;research objectives;linear regression analysis;Quality assurance;practice DevOps;high quality software;software quality;quantitative data collection","","16","","11","","15 Jan 2018","","","IEEE","IEEE Conferences"
"The DevOps Reference Architecture Evaluation : A Design Science Research Case Study","G. B. Ghantous; A. Gill","University of Technology Sydney,Sydney,Australia; University of Technology Sydney,Sydney,Australia","2020 IEEE International Conference on Smart Internet of Things (SmartIoT)","10 Sep 2020","2020","","","295","299","There is a growing interest to adopt vendor-driven DevOps tools in organizations. However, it is not clear which tools to use in a reference architecture which enables the deployment of the emerging IoT applications to multi-cloud environments. A research-based and vendor-neutral DevOps reference architecture (DRA) framework has been developed to address this critical challenge. The DRA framework can be utilized to architect and implement the DevOps environment that enables automation and continuous integration of software applications deployment to multi-cloud. This paper confers and discusses the evaluation outcomes of the DRA framework at the DigiSAS research Lab. The evaluation outcomes present practical evidence about the applicability of the DRA framework. The evaluation results also indicate that the DRA framework provides general knowledge-base to researchers and practitioners about the adoption DevOps approach in reference architecture design for deploying IoT-applications to multi-cloud environments.","","978-1-7281-6514-1","10.1109/SmartIoT49966.2020.00052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9192390","Design Science Research;DevOps Reference Architecture;Empirical Software Evaluation;IoT Application Deployment;Multi-Cloud Automated Deployment","Software;Biological system modeling;Context modeling;Computer architecture;Tools;Organizations;Automation","cloud computing;Internet of Things;software architecture","DevOps reference architecture evaluation;design science research case study;vendor-driven DevOps tools;IoT applications;multicloud environments;vendor-neutral DevOps reference architecture;DRA framework;DevOps environment;software applications deployment;DigiSAS research Lab;reference architecture design;research-based DevOps reference architecture framework","","1","","34","","10 Sep 2020","","","IEEE","IEEE Conferences"
"Towards Definitions for Release Engineering and DevOps","A. Dyck; R. Penners; H. Lichter","Software Constr., RWTH Aachen Univ., Aachen, Germany; RWTH Aachen Univ., Aachen, Germany; Software Constr., RWTH Aachen Univ., Aachen, Germany","2015 IEEE/ACM 3rd International Workshop on Release Engineering","30 Jul 2015","2015","","","3","3","Delivering software fast, reliable, and predictable is essential for software development organizations. Yet, they often struggle to implement proper approaches and practices like release engineering and DevOps. One reason is the lack of consistent definitions for both of these terms, making it difficult to grasp the meaning and adding further confusion. To the best of our knowledge, there are no uniform definitions for both terms, and thus, many inadequate or even wrong interpretations exist. Consequently, these terms are often confused, misinterpreted, or used as synonyms. In this paper, we propose definitions for release engineering and DevOps to tell both apart.","","978-1-4673-7070-7","10.1109/RELENG.2015.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7169442","release engineering;devops;definition","Software;Reliability engineering;Software reliability;Organizations;Stress;Conferences","organisational aspects;software development management;software reliability","software development organizations;release engineering;DevOps","","58","","11","","30 Jul 2015","","","IEEE","IEEE Conferences"
"Composable DevOps: Automated Ontology Based DevOps Maturity Analysis","M. A. McCarthy; L. M. Herger; S. M. Khan; B. M. Belgodere","Office of the CIO, IBM Corp., Raleigh, NC, USA; IBM Res., IBM Corp., Yorktown Heights, NY, USA; IBM Res., IBM Corp., Yorktown Heights, NY, USA; IBM Res., IBM Corp., Yorktown Heights, NY, USA","2015 IEEE International Conference on Services Computing","20 Aug 2015","2015","","","600","607","In this era of the emerging digitized, mobilized, and cloudified enterprises, the concept of the ""compos able business"" is the most critical piece which ties everything together. The digital enterprise is here, and its prime characteristic is that is essentially detaches and segregates existing businesses and reassembles them according to market demands. Every industry, from transportation to eyewear is up for disruption, and developers are in the forefront of this movement. In turn, these developers are under intense pressure to accelerate time to market. The compos able enterprise approach requires a reconsideration of traditional models of the entire IT organization. These organization and their processes need to be broken up into components that follow certain key design principles such as The Minimal Functions with least Dependencies, portability, Shared Knowledge, Predictable Contracts and Maximized Human Value. The last three bullet points encapsulate the very definition of DevOps [3]. The concept of better integration between Development and Operations is a valuable objective. The goal is to foster measurable incremental cultural change to derive most overall value out of the union of people, process and technology. But the cultural issues, reward models, and risk allocation create obvious barriers in attaining those goals. The common industry belief is to use the compos able enterprise framework to build a platform using the right tools and you will have attained DevOps nirvana. In this paper we will explore valuable lessons learned from our mistakes in tool centric adoption of IT Infrastructure Library (ITIL) [8]. We will also show how we applied those lessons to develop a lightweight compos able/contextual DevOps framework that learns and measure itself to avoid those cultural pitfalls.","","978-1-4673-7281-7","10.1109/SCC.2015.87","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7207405","devops;itil;maturity;ontology;deontic;semantic","Business;Pipelines;Ontologies;Collaboration;Monitoring;Semantics;Engines","cloud computing;electronic commerce;information technology;market opportunities;mobile computing;ontologies (artificial intelligence)","composable DevOps;automated ontology;DevOps maturity analysis;digitized enterprises;mobilized enterprises;cloudified enterprises;composable business;market demands;IT organization;IT infrastructure library;ITIL","","12","","19","","20 Aug 2015","","","IEEE","IEEE Conferences"
"Mitigating an Oxymoron: Compliance in a DevOps Environments","J. R. Michener; A. T. Clager",NA; NA,"2016 IEEE 40th Annual Computer Software and Applications Conference (COMPSAC)","25 Aug 2016","2016","1","","396","398","Compliance and regulation are fundamentally intended to establish trust between entities that create and use shared computing systems across all layers. Security compliance requirements (such as those of Payment Card Industry (PCI) Data Security Standard (DSS)<sup>1</sup> or the US NIST 800 special publication series<sup>2</sup>) are framed around a classic “Waterfall” software development methodology. The software industries recent shift to a “DevOps” methodology has put the trust created with compliance at risk. This paper contains a proposed strategy to achieve compliance and establish trust using a DevOps environment.","0730-3157","978-1-4673-8845-0","10.1109/COMPSAC.2016.155","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7552040","DevOps;security;compliance;regulation;PCI;trust","Security;Production;Software;Companies;Testing;Lead;Industries","security of data;software engineering","oxymoron mitigation;DevOps environment;shared computing systems;security compliance requirements;waterfall software development methodology;software industry","","4","","11","","25 Aug 2016","","","IEEE","IEEE Conferences"
"Evaluating the impact of DevOps practice in Sri Lankan software development organizations","P. Perera; M. Bandara; I. Perera","Department of Computer Science & Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science & Engineering, University of Moratuwa, Sri Lanka; Department of Computer Science & Engineering, University of Moratuwa, Sri Lanka","2016 Sixteenth International Conference on Advances in ICT for Emerging Regions (ICTer)","26 Jan 2017","2016","","","281","287","The purpose of this study is to conduct an analysis on practicing DevOps in software development companies in Sri Lanka. DevOps is extended from agile with a mix of patterns intended to improve collaboration between development and operations. The main objective of this research is to identify whether there is a relationship between quality, responsiveness to business needs and agility with implementation of DevOps. Other objectives of this research are to identify barriers Sri Lankan software companies have faced and provide recommendations to overcome those issues. This study was carried out using a deductive approach. Data have been collected from IT professionals in Sri Lanka who had prior experience or knowledge about DevOps. Recommendations are given based on interview feedback, hypotheses output and descriptive statistical analysis. According to results software professionals in Sri Lanka are in a perception that implementation of DevOps has a positive impact on Quality, Responsiveness to Business Needs and Agility to New Technologies. Culture, Automation, Measurement and Sharing are important factors to be considered when implement DevOps in Sri Lanka. As a result of this study it is recommended to implement and practice DevOps in Sri Lankan Software companies.","2472-7598","978-1-5090-6078-8","10.1109/ICTER.2016.7829932","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7829932","DevOps;Software Development Industry;Product Quality;Software Lifecycle;DevOps Challenges","Software;Companies;Industries;Collaboration;Cams","professional aspects;software houses;software prototyping;software quality","DevOps;sharing factor;measurement factor;automation factor;culture factor;business need responsiveness;software quality;software professionals;statistical analysis;IT professionals;deductive approach;agile software;Sri Lankan software development organizations","","10","","17","","26 Jan 2017","","","IEEE","IEEE Conferences"
